Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg,MaxLimitViol_deg,qTrue1,qTrue2,qTrue3,qTrue4,qTrue5,qTrue6,qInit1,qInit2,qInit3,qInit4,qInit5,qInit6,qSol1,qSol2,qSol3,qSol4,qSol5,qSol6
36,1.29655027495797e-06,0,28,1,2,2.11877352845611e-12,0,0,0,0.419603643178881,0.636267188367033,-0.78522404910884,0.242103840975064,1.1712518430239,0,0.296637110587764,0.614900031979421,-0.843966617244,0.174708299812849,1.10695960802903,-3.03334470924934e-09,0.419603647240475,0.636267182841008,-0.785224020418856,0.242103845875461,1.17125181844742
37,6.68190806485371e-07,0,28,1,2,9.72442022219322e-06,0,0,0,-1.77781127615966,0.0632668684970175,0.743526504200827,-0.22341667379085,-1.08992395266792,0,-1.76856682206477,-0.00043160886080762,0.665881397691966,-0.284758726323241,-1.12905493165846,-2.44160580993063e-10,-1.77781127843673,0.0632668698617566,0.743526531098748,-0.223416667624139,-1.08992397591701
38,1.6766347911132e-05,0,24,1,2,6.39361639673271e-06,0,0,0,0.465351677823177,0.704808553686999,0.392960930497279,0.916326028309738,-1.28357548705383,0,0.344322358247093,0.806456061481692,0.389344760997059,0.997568085572367,-1.33482461716731,-2.6912580363433e-08,0.465351681763209,0.704808504174777,0.392960886753121,0.91632607756113,-1.28357547078966
39,1.40711056854612e-05,0,26,1,2,3.1725716407863e-12,0,0,0,1.6880825439427,-0.434647097656055,-0.654628864603591,0.364644870733861,-1.43439826224738,0,1.66021856009982,-0.305197347950685,-0.775025206803732,0.242084497950322,-1.39325398733899,-2.04041725129288e-08,1.6880825827625,-0.43464713262383,-0.654628885397992,0.364644854811272,-1.43439826343855
40,2.73240274052718e-07,0,30,1,2,6.83633139767653e-06,0,0,0,0.754989123736225,-0.0387594601304626,-0.585992931711076,-0.104912263550897,-1.25325323657244,0,0.759726852333588,0.0263210669239307,-0.651611491105866,-0.111345935602198,-1.1727283351977,-2.53331556115715e-09,0.754989123300073,-0.038759461159748,-0.585993109006055,-0.104912268149952,-1.2532530588837
41,1.62098729781864e-06,0,28,1,1,2.23856033064548e-12,0,0,0,0.560629996220216,0.238591050388423,-0.224062330293584,-0.300278426397155,0.617002317090447,0,0.663939234772336,0.326954682147333,-0.245920495783613,-0.210321617432068,0.507805923123539,-2.9226623689739e-09,0.560629996119232,0.238591054041883,-0.224062344024474,-0.300278428841156,0.617002332130572
42,3.56325869628757e-06,0,26,1,3,7.28508579850343e-06,0,0,0,0.765839403345397,-0.769448109147122,0.291857347720455,-0.619350914247133,-0.393155800254092,0,0.859624868431113,-0.707061968545561,0.199177610205597,-0.577338564108686,-0.403448120063894,7.6584724210254e-09,0.765839402969973,-0.769448108603629,0.2918573618321,-0.619350918204345,-0.393155817472562
43,9.12668943190297e-07,0,31,1,1,1.22791467120111e-05,0,0,0,-1.07004560239066,0.35698947616434,-0.0801895453619081,0.503828904889587,-1.09236720007361,0,-1.05462964810201,0.381321233126291,0.0270603144577587,0.59547739025428,-1.12928848508991,-8.35349227759309e-09,-1.07004560467368,0.356989476524856,-0.0801895300653092,0.503828909104317,-1.09236722389805
44,8.86788285660128e-06,0,27,1,1,5.2815692678723e-06,0,0,0,0.224927860008853,-0.317661113516763,0.32967616185264,-0.278789536429477,0.114423454050416,0,0.323678981308295,-0.248123093365377,0.435623859823272,-0.331091532109212,0.180866521980959,-1.36784969213732e-08,0.224927891046701,-0.317661152227224,0.329676128385983,-0.278789528590409,0.114423488465642
45,1.12527769999588e-06,0,27,1,2,5.89887596408335e-06,0,0,0,-0.948291581773112,0.0409552425743105,0.786327153023914,1.45571776326112,0.838570663001809,0,-1.06403456122672,0.0330727375420638,0.721166267548783,1.5681992536361,0.900314367456438,1.07641400037912e-09,-0.948291579245845,0.0409552367613855,0.786327151905107,1.45571776501932,0.838570665161235
